name,category,latitude,longitude
Upendo Vision Clinic,hospital,-1.3078684,36.7860504
New Makina Clinic,hospital,-1.3071984,36.7863291
St Augustus Medical Clinic,hospital,-1.3072303,36.788823
Wema Clinic,hospital,-1.3179274,36.7782341
Saola Health Clinic,hospital,-1.3117185,36.7991031
Marie Stopes Clinic,hospital,-1.3079831,36.7892032
Rail Side Clinic,hospital,-1.31523,36.8028346
Mareba Medical Clinic,hospital,-1.3065921,36.7834906
Mama Sofi mkunga/Bibi,hospital,-1.3112945,36.7888564
Makina Clinic,hospital,-1.3100272,36.7882765
Frepals Maternity,hospital,-1.3120224,36.7923801
Community Royal clinic,hospital,-1.3138445,36.7964847
St.Angela Clinic,hospital,-1.3072492,36.7888229
Medical Clinic,hospital,-1.3072052,36.7825137
Revival Medical Centre,hospital,-1.3156345,36.7753937
Undugu Medical Clinic,hospital,-1.3179328,36.7990986
Natural Health Centre,hospital,-1.3077733,36.7851718
Proposed Health Centre,hospital,-1.3250519,36.8878761
AFYA MEDICAL CLINIC,hospital,-1.3180392,36.8873739
University Mobile Clinic,hospital,-1.2796122,36.8155523
Student's Clinic,hospital,-1.2782734,36.8107235
Mednoor Medical Clinic,hospital,-1.3209231,36.8863598
Sidarec Mukuru Community Clinic,hospital,-1.3201199,36.885033
Alice Nursing Home,hospital,-1.3144256,36.8844253
Huruma Nursing Home,hospital,-1.3165544,36.8922635
UnduguMedical Clinic,hospital,-1.2645991,36.8573823
Huduma Bora Medics Clinic,hospital,-1.2638847,36.8442079
Precise hospital,hospital,-1.2597152,36.8675693
Urban rural initiative overal dev.health providers,hospital,-1.2581256,36.8720746
Lions health clinic mathare valley,hospital,-1.2615407,36.8658548
Jamko health clinic,hospital,-1.293483,36.7916908
St Teresa Medical Clinic,hospital,-1.3152805,36.885804
Mukuru Medical Clinic,hospital,-1.3222884,36.8871647
Mertenity clinic,hospital,-1.3194486,36.8870753
Scion Health care,hospital,-1.3279842,36.8921922
